Provinsi,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
Riau,23.67520435967302,32.511444141689374,28.165667574931877,81.32970027247957,235.09915014164307,4.672303206997085,2.4972826086956523,169.46049046321525,0.5407608695652174,
Lampung,24.0989010989011,32.87424657534247,28.346575342465755,79.16712328767123,899.3022988505747,4.943835616438356,2.3961748633879782,164.95628415300547,1.0737704918032787,
SulawesiTenggara,23.65068493150685,32.56333333333333,28.05315068493151,82.17808219178082,1077.3624657534247,4.437808219178082,2.4153005464480874,179.5191256830601,0.8114754098360656,
NusaTenggaraTimur,24.546575342465754,33.1534435261708,29.155616438356162,74.93698630136986,526.2125401929261,7.363835616438356,5.005464480874317,208.08743169398906,2.540983606557377,
Bengkulu,24.81483516483516,32.193715846994536,28.595890410958905,82.42739726027398,889.8201201201202,6.111232876712327,4.48087431693989,216.47540983606558,2.5901639344262297,
KepBangkaBelitung,24.557142857142853,32.09342465753425,28.25452054794521,85.18630136986302,624.1665615141956,4.5350684931506855,3.469945355191257,147.37704918032787,1.5,
Jambi,24.36401098901099,32.59917582417582,27.810136986301373,86.02739726027397,1457.282175226586,4.381643835616439,2.5027322404371586,186.0655737704918,0.674863387978142,
JawaTengah,24.97780821917808,33.472950819672135,29.242465753424657,74.61369863013698,474.6546703296703,6.479395604395604,5.167123287671233,229.22677595628414,2.010928961748634,
NusaTenggaraBarat,24.102747252747257,32.4775956284153,29.369841269841267,76.74603174603175,591.5989010989011,6.551232876712329,4.330601092896175,212.8415300546448,2.1174863387978142,
SUMATERABARAT,22.92346368715084,31.924653739612186,26.95911602209945,84.66850828729282,681.7631736526946,4.507458563535911,2.787878787878788,204.71074380165288,1.0633608815426998,
Bali,24.255371900826447,31.41775956284153,28.85925925925926,79.98941798941799,713.6406593406593,6.388461538461539,5.073770491803279,154.8087431693989,1.9426229508196722,
KepRiau,25.683333333333334,31.85623268698061,28.401923076923076,83.18630136986302,1486.4888252148996,4.240331491712707,4.090163934426229,133.46575342465752,1.46448087431694,
